words,frequency
service,10826
crust,6593
cheese,5969
sauce,5190
fresh,4599
beer,4316
atmosphere,3549
drinks,3287
pepperoni,3041
chicken,2929
italian,2789
flavor,2653
crispy,2450
garlic,2323
pork,1619
delivery,1388
dining,1264
ambiance,1258
vibe,1195
flavorful,1087
flavors,1058
margherita,1047
unique,984
spicy,875
spinach,854
ricotta,843
roasted,822
authentic,817
variety,811
basil,804
soft,801
margarita,791
mushroom,789
mozzarella,787
olive,711
reasonable,668
peppers,663
crunchy,663
vegan,645
classic,645
homemade,612
parmesan,564
cheesy,560
vegetarian,553
takeout,540
veggie,539
pepper,539
marinara,523
prosciutto,514
pesto,507
ambience,489
traditional,420
frozen,366
crunch,332
balsamic,330
pineapple,275
smoked,266
bolognese,259
focaccia,218
ham,213
